Year,Round,Region,Team1,Seed1,Team2,Seed2,Score,Winner,Team1_Conf,Team1_Wins,Team1_Losses,Team1_WinPct,Team1_NetRtg,Team1_ORtg,Team1_DRtg,Team2_Conf,Team2_Wins,Team2_Losses,Team2_WinPct,Team2_NetRtg,Team2_ORtg,Team2_DRtg
2024,First Round,East,San Diego St.,5,UAB,12,69-65,San Diego St.,MWC,26,11,0.7027027027027027,19.36,113.4,94.0,Amer,23,12,0.6571428571428571,6.49,113.7,107.2
2024,First Round,East,Auburn,4,Yale,13,78-59,Auburn,SEC,27,8,0.7714285714285715,27.99,120.4,92.4,Ivy,23,10,0.696969696969697,9.07,110.9,101.8
2024,First Round,East,BYU,6,Duquesne,11,71-87,Duquesne,B12,23,11,0.6764705882352942,19.96,119.8,99.9,A10,25,12,0.6756756756756757,9.19,107.2,98.0
2024,First Round,East,Illinois,3,Morehead St.,14,85-69,Illinois,B10,29,9,0.7631578947368421,24.53,125.5,101.0,OVC,26,9,0.7428571428571429,5.15,109.1,104.0
2024,First Round,East,Washington St.,7,Drake,10,66-73,Drake,P12,25,10,0.7142857142857143,16.33,113.2,96.9,MVC,28,7,0.8,14.53,115.1,100.5
2024,First Round,East,Iowa St.,2,South Dakota St.,15,82-65,Iowa St.,B12,29,8,0.7837837837837838,26.47,113.9,87.5,Sum,22,13,0.6285714285714286,2.69,108.8,106.1
2024,First Round,West,North Carolina,1,Wagner,16,90-62,North Carolina,ACC,29,8,0.7837837837837838,26.19,119.7,93.5,NEC,17,16,0.5151515151515151,-10.0,96.4,106.4
2024,First Round,West,Michigan St.,9,Mississippi St.,8,69-51,Michigan St.,B10,20,15,0.5714285714285714,20.58,114.3,93.7,SEC,21,14,0.6,17.07,113.0,95.9
2024,First Round,West,Saint Mary's,5,Grand Canyon,12,68-67,St. Mary's,WCC,26,8,0.7647058823529411,19.43,114.5,95.0,WAC,30,5,0.8571428571428571,14.84,112.9,98.1
2024,First Round,West,Alabama,4,Charleston Southern,13,109-96,Alabama,SEC,25,12,0.6756756756756757,22.96,126.0,103.0,BSth,10,20,0.3333333333333333,-13.03,95.5,108.5
2024,First Round,West,Clemson,6,New Mexico,11,77-56,Clemson,ACC,24,12,0.6666666666666666,19.44,117.7,98.3,MWC,26,10,0.7222222222222222,17.8,114.4,96.6
2024,First Round,West,Baylor,3,Colgate,14,92-67,Baylor,B12,24,11,0.6857142857142857,21.9,122.4,100.5,Pat,25,10,0.7142857142857143,1.5,104.8,103.3
2024,First Round,West,Dayton,7,Nevada,10,63-67,Nevada,A10,25,8,0.7575757575757576,17.3,117.7,100.4,MWC,26,8,0.7647058823529411,16.41,115.0,98.6
2024,First Round,West,Arizona,2,Long Beach St.,15,85-65,Arizona,P12,27,9,0.75,26.55,120.2,93.7,BW,21,15,0.5833333333333334,-0.25,107.3,107.5
2024,First Round,South,Houston,1,Longwood,16,86-46,Houston,B12,32,5,0.8648648648648649,31.17,118.9,87.7,BSth,21,14,0.6,0.35,105.5,105.2
2024,First Round,South,Texas A&M,9,Nebraska,8,98-83,Texas A&M,SEC,21,15,0.5833333333333334,17.02,117.5,100.5,B10,23,11,0.6764705882352942,17.55,116.2,98.7
2024,First Round,South,Wisconsin,5,James Madison,12,61-66,James Madison,B10,22,14,0.6111111111111112,20.06,119.2,99.2,SB,32,4,0.8888888888888888,12.42,113.0,100.6
